observed_utc,gw,source,team_abbr,opponent_abbr,status,formation,row,slot,player,short,kickoff_text
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,AVL,TOT,predicted,4-2-3-1,4,9,Emiliano Buendia,,Saturday 19 September 15:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,AVL,TOT,predicted,4-2-3-1,4,10,George Hemmings,,Saturday 19 September 15:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,AVL,TOT,predicted,4-2-3-1,5,11,Nicolas Jackson,,Saturday 19 September 15:30
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BHA,ARS,predicted,4-2-3-1,1,1,Bart Verbruggen,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BHA,ARS,predicted,4-2-3-1,2,2,Ferdi Kadioglu,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BHA,ARS,predicted,4-2-3-1,2,3,Luka Vuskovic,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BHA,ARS,predicted,4-2-3-1,2,4,Lewis Dunk,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BHA,ARS,predicted,4-2-3-1,2,5,Olivier Boscagli,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BHA,ARS,predicted,4-2-3-1,3,6,Pascal Groß,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BHA,ARS,predicted,4-2-3-1,3,7,Yasin Ayari,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BHA,ARS,predicted,4-2-3-1,4,8,Diego Gomez,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BHA,ARS,predicted,4-2-3-1,4,9,Malick Yalcouye,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BHA,ARS,predicted,4-2-3-1,4,10,Maxim De Cuyper,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,BHA,ARS,predicted,4-2-3-1,5,11,C. Kostoulas,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,ARS,BHA,predicted,4-2-3-1,1,1,David Raya,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,ARS,BHA,predicted,4-2-3-1,2,2,Jurrien Timber,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,ARS,BHA,predicted,4-2-3-1,2,3,Ezri Konsa,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,ARS,BHA,predicted,4-2-3-1,2,4,Gabriel Magalhães,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,ARS,BHA,predicted,4-2-3-1,2,5,Riccardo Calafiori,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,ARS,BHA,predicted,4-2-3-1,3,6,Myles Lewis-Skelly,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,ARS,BHA,predicted,4-2-3-1,3,7,Declan Rice,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,ARS,BHA,predicted,4-2-3-1,4,8,Bukayo Saka,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,ARS,BHA,predicted,4-2-3-1,4,9,Martin Ødegaard,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,ARS,BHA,predicted,4-2-3-1,4,10,Christos Tzolis,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,ARS,BHA,predicted,4-2-3-1,5,11,Kai Havertz,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,EVE,IPS,predicted,4-2-3-1,1,1,Jordan Pickford,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,EVE,IPS,predicted,4-2-3-1,2,2,A. Maitland-Niles,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,EVE,IPS,predicted,4-2-3-1,2,3,James Tarkowski,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,EVE,IPS,predicted,4-2-3-1,2,4,Jarrad Branthwaite,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,EVE,IPS,predicted,4-2-3-1,2,5,Vitali Mykolenko,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,EVE,IPS,predicted,4-2-3-1,3,6,Harrison Armstrong,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,EVE,IPS,predicted,4-2-3-1,3,7,James Garner,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,EVE,IPS,predicted,4-2-3-1,4,8,Brennan Johnson,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,EVE,IPS,predicted,4-2-3-1,4,9,K. Dewsbury-Hall,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,EVE,IPS,predicted,4-2-3-1,4,10,Tyrique George,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,EVE,IPS,predicted,4-2-3-1,5,11,Thierno Barry,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,IPS,EVE,predicted,4-2-3-1,1,1,Kjell Scherpen,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,IPS,EVE,predicted,4-2-3-1,2,2,Dara O'Shea,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,IPS,EVE,predicted,4-2-3-1,2,3,Issa Diop,,Saturday 19 September 18:00
