id,code,selected_by_percent,transfers_in_event,transfers_out_event,now_cost
1,154561,40.8,196085,38628,60
2,109745,0.1,131,424,49
3,437495,0.0,57,154,49
4,226597,23.3,32707,75029,80
5,445122,0.2,13518,2393,65
6,462424,0.2,338,1637,59
7,499169,0.6,2413,7865,55
8,466075,50.2,186178,49187,58
9,448104,0.9,1983,12128,53
10,198869,6.2,17646,151573,55
11,500040,1.9,140,60640,53
12,223340,12.5,126802,40278,95
13,204480,12.6,20206,56447,74
14,232413,1.1,2298,13307,63
15,184029,19.5,220855,82027,67
16,248857,0.2,825,2788,62
17,195384,0.4,1018,5002,58
18,444145,0.1,0,1195,63
19,481655,0.6,1144,6740,53
20,616077,0.1,662,832,53
22,499175,0.0,0,90,54
23,438098,0.0,0,69,55
24,200641,0.0,0,47,55
25,224117,3.3,2888,40184,72
26,219847,7.9,64276,68876,76
27,205651,0.2,0,1832,59
31,199798,18.3,221710,39656,45
452,208706,1.8,12207,6834,67
557,439509,14.4,25698,180342,64
29,72147,0.1,367,893,45
30,101188,0.1,0,334,45
32,199796,5.2,1158,90498,44
33,149484,0.4,2124,3421,45
34,244954,0.4,215,5775,45
35,515597,0.1,379,710,50
36,441302,0.7,519,18603,45
37,184667,0.3,2113,2298,45
38,606798,1.6,5463,9912,40
39,578545,0.1,0,884,40
41,195546,0.9,3570,14039,59
44,215711,0.1,0,1229,54
45,122806,2.3,11717,14791,54
46,88894,0.3,1614,2615,50
47,226944,0.3,1433,3275,50
48,449871,0.0,42,161,49
49,469247,0.0,0,18,50
50,645618,0.6,1539,5076,45
51,577285,1.3,10040,11007,45
52,653481,0.1,1141,408,50
53,614071,0.1,1316,734,59
54,448089,0.0,377,204,55
55,178301,2.7,0,25794,78
56,173879,0.2,1931,1916,55
160,493105,0.3,630,5229,58
166,517052,1.2,9661,22729,65
582,690838,0.2,197,2969,54
596,487992,0.1,385,827,45
597,433969,1.8,10820,12003,50
606,569577,0.2,1359,1217,40
607,571380,0.1,0,1083,45
611,214590,0.2,3250,1487,45
618,119090,0.0,34,1138,59
630,245719,0.0,228,263,45
631,638987,0.1,1597,961,60
57,457569,3.1,4564,17090,45
58,40383,3.5,14868,9896,40
59,444172,0.1,0,720,40
60,463981,0.8,2276,7177,55
61,494521,3.2,4200,21565,55
62,242882,0.2,687,1686,50
63,620487,0.0,42,71,49
64,54469,0.1,572,1322,45
65,436893,0.0,57,116,44
66,575901,0.3,1717,1718,40
67,499604,1.7,2645,24313,64
68,201658,5.8,217758,33784,61
69,503139,5.8,53028,51396,61
70,222683,1.0,9086,6561,60
71,155408,0.2,594,2633,50
72,496208,0.1,225,560,49
73,200785,0.3,2231,2877,50
74,111317,0.1,343,630,50
75,158499,0.0,406,445,50
76,614574,0.0,39,94,49
77,489888,0.0,19,165,49
78,560262,0.2,101,1324,74
79,444102,3.3,29233,28522,60
80,168636,0.0,0,86,55
81,561245,0.1,588,972,60
566,483067,0.4,1399,3656,50
573,494928,0.2,219,899,44
608,523700,0.1,1419,1443,50
615,230650,0.0,263,398,45
82,200720,6.2,6623,42192,50
83,507433,0.1,216,600,45
84,432830,1.2,84,27228,54
85,444765,0.1,23,554,49
86,249231,1.9,4201,28362,55
87,191866,4.2,6459,40422,45
88,607464,8.0,13504,94706,46
89,194010,0.2,298,1135,44
90,472713,0.1,228,430,45
92,570241,0.0,49,118,45
93,513086,0.1,222,536,45
94,513418,6.5,285386,33361,61
95,533463,0.5,540,9094,63
96,440089,0.4,926,5099,55
97,207283,0.1,11,1186,54
98,204580,2.5,29817,21466,50
99,543295,0.0,11,21,50
100,244858,0.0,180,245,50
102,508395,0.7,1102,5754,48
103,183656,0.0,5,194,49
105,444180,0.1,385,1453,59
106,502500,9.3,9479,146298,79
107,593174,1.0,5903,13079,45
108,75115,0.3,1065,4224,55
565,513545,11.8,20036,130357,57
620,613804,0.1,791,1219,45
657,626464,0.0,1480,329,45
109,489639,21.8,59059,82838,45
111,49262,4.2,12635,13884,40
113,231416,1.7,3042,10832,44
114,204120,0.3,942,1555,45
115,465730,24.1,290840,72003,49
116,83299,1.5,19838,7075,45
117,550090,0.0,145,164,45
118,223434,0.0,0,632,45
119,451490,0.0,148,214,45
120,454490,0.1,504,711,50
121,451340,0.0,46,223,59
122,592031,0.0,21,370,59
123,532529,0.7,97,19983,59
124,60307,19.6,399675,60359,57
125,463067,0.5,1182,8407,54
126,219249,0.1,429,923,54
127,514254,4.5,9218,46451,50
128,536916,0.0,0,13,50
129,509416,0.4,2458,2716,54
130,467779,0.2,41,5079,49
132,597320,0.0,0,298,45
133,549074,0.0,0,7,50
134,556637,0.3,725,2038,45
135,700308,0.0,25,840,49
137,608181,0.0,40,62,54
138,647850,0.8,32629,8710,55
139,487117,0.0,182,297,50
328,222694,0.2,465,1778,49
504,610799,3.2,20427,21480,50
594,538007,0.2,1429,3541,60
600,612855,0.0,112,159,50
605,611695,3.8,84691,26164,45
614,512123,0.0,286,514,45
624,519324,0.0,0,9,50
639,592984,0.0,340,163,55
652,471551,0.0,49,36,55
658,661016,0.0,940,185,45
28,98980,4.9,14564,39025,50
40,244850,38.3,464106,38083,77
101,56979,0.0,28,332,49
136,50175,0.8,6096,8343,59
140,215059,0.8,0,10666,49
