id,code,selected_by_percent,transfers_in_event,transfers_out_event,now_cost
1,154561,37.7,163820,177785,60
2,109745,0.1,524,1031,50
3,437495,0.0,149,389,50
4,226597,25.8,39720,271347,80
5,445122,0.1,472,2159,65
6,462424,0.2,1025,4982,60
7,499169,0.7,7505,10932,55
8,466075,44.1,411616,91414,57
9,448104,1.2,4084,29509,54
10,198869,7.2,131846,88519,55
11,500040,4.8,12374,78437,55
12,223340,10.7,107715,78382,95
13,204480,14.6,18577,199413,75
14,232413,1.5,6885,33557,64
15,184029,11.1,100720,134578,66
16,248857,0.3,1046,6559,63
17,195384,0.5,2753,12199,59
18,444145,0.2,1104,5132,63
19,481655,0.8,3218,16429,54
20,616077,0.1,554,1726,54
22,499175,0.0,157,344,54
23,438098,0.0,175,246,55
24,200641,0.0,4,270,55
25,224117,4.9,7121,158575,73
26,219847,6.9,60862,108972,75
27,205651,0.3,2250,9182,59
31,199798,10.6,194850,163495,44
452,208706,2.1,4772,52056,68
557,439509,20.7,84385,475842,65
29,72147,0.1,2025,1969,45
30,101188,0.1,0,1873,45
32,199796,7.1,32082,62957,45
33,149484,0.4,2293,4112,45
34,244954,0.4,3970,3481,45
35,515597,0.1,826,1084,50
36,441302,0.8,8268,6905,45
37,184667,0.3,2611,2491,45
38,606798,1.8,13514,14068,40
39,578545,0.2,0,3426,40
41,195546,1.2,13876,19029,60
44,215711,0.1,1044,2792,54
45,122806,2.5,12689,36161,54
46,88894,0.3,4494,3307,50
47,226944,0.3,4276,4875,50
48,449871,0.0,127,504,50
49,469247,0.0,0,60,50
50,645618,0.7,7375,7752,45
51,577285,1.0,28348,11439,45
52,653481,0.0,694,776,50
53,614071,0.1,294,4542,59
54,448089,0.0,75,1019,55
55,178301,4.8,4250,250098,78
56,173879,0.1,3619,2302,55
160,493105,0.5,2192,10057,59
166,517052,0.9,30780,6588,65
582,690838,0.3,792,7743,55
596,487992,0.1,660,1399,45
597,433969,1.2,25130,8926,50
606,569577,0.2,5663,1471,40
607,571380,0.1,3305,1909,45
611,214590,0.1,5695,1372,45
618,119090,0.0,2999,717,60
630,245719,0.0,596,80,45
631,638987,0.0,2512,346,60
57,457569,3.4,37188,27737,45
58,40383,3.4,29857,16877,40
59,444172,0.2,0,2453,40
60,463981,0.9,5773,9258,55
61,494521,3.8,9928,33277,55
62,242882,0.2,1524,3434,50
63,620487,0.0,75,210,50
64,54469,0.1,1384,1685,45
65,436893,0.0,79,324,45
66,575901,0.3,4975,2005,40
67,499604,2.3,9562,49088,65
68,201658,2.3,22798,39296,60
69,503139,1.9,47262,14676,60
70,222683,1.1,8628,19020,60
71,155408,0.2,5563,3191,50
72,496208,0.1,332,1301,50
73,200785,0.2,4823,4118,50
74,111317,0.1,1054,837,50
75,158499,0.0,866,426,50
76,614574,0.0,96,195,50
77,489888,0.0,122,562,49
78,560262,0.2,226,7037,74
79,444102,3.2,58536,34733,60
80,168636,0.0,0,465,55
81,561245,0.1,1267,1656,60
566,483067,0.4,8281,5128,50
573,494928,0.2,319,1907,45
608,523700,0.1,3890,1712,50
615,230650,0.0,1219,392,45
82,200720,7.5,87266,47317,50
83,507433,0.1,779,1131,45
84,432830,2.3,22564,16710,55
85,444765,0.1,106,2192,49
86,249231,2.0,77590,20691,55
87,191866,5.2,118707,46378,45
88,607464,9.5,158216,65627,46
89,194010,0.2,484,1772,45
90,472713,0.1,561,747,45
92,570241,0.0,126,244,45
93,513086,0.1,137,1172,45
94,513418,4.2,93580,37013,60
95,533463,0.9,3462,22500,65
96,440089,0.5,2950,6100,55
97,207283,0.2,557,5309,55
98,204580,0.6,24589,11225,50
