id,code,selected_by_percent,transfers_in_event,transfers_out_event,now_cost
1,154561,42.2,116640,42033,61
2,109745,0.1,93,226,49
3,437495,0.0,44,107,49
4,226597,22.8,21250,60878,80
5,445122,0.4,10969,3544,65
6,462424,0.2,344,988,59
7,499169,0.6,793,4642,54
8,466075,50.5,68127,57465,58
9,448104,0.9,1293,5343,52
10,198869,5.0,3192,61885,55
11,500040,1.6,1059,8610,53
12,223340,13.6,93418,42168,95
13,204480,11.7,7282,72604,74
14,232413,1.0,1995,6222,62
15,184029,19.8,68021,80888,68
16,248857,0.2,681,1451,62
17,195384,0.4,639,2650,58
18,444145,0.1,0,496,63
19,481655,0.6,442,3441,53
20,616077,0.1,411,529,53
22,499175,0.0,0,48,54
23,438098,0.0,0,35,55
24,200641,0.0,0,17,55
25,224117,3.1,6721,15179,71
26,219847,8.4,49746,48712,76
27,205651,0.1,0,891,59
31,199798,19.4,83187,40582,46
452,208706,1.8,4890,6898,67
557,439509,12.2,10633,131713,63
29,72147,0.1,52,921,45
30,101188,0.0,0,198,45
32,199796,4.9,2405,23223,44
33,149484,0.4,1489,1245,45
34,244954,0.3,38,2882,45
35,515597,0.1,156,412,49
36,441302,0.5,48,5681,44
37,184667,0.3,900,1153,45
38,606798,1.5,1676,5540,40
39,578545,0.1,0,494,40
41,195546,1.0,10876,3616,59
44,215711,0.1,0,429,54
45,122806,2.2,6131,7624,54
46,88894,0.3,510,1638,50
47,226944,0.3,1160,1425,50
48,449871,0.0,35,87,49
49,469247,0.0,0,10,50
50,645618,0.6,575,3108,45
51,577285,1.2,2927,8935,45
52,653481,0.0,64,718,50
53,614071,0.4,26171,2671,59
54,448089,0.0,406,169,55
55,178301,2.5,0,11074,78
56,173879,0.2,1466,1573,55
160,493105,0.3,465,2551,58
166,517052,1.4,31067,6939,65
582,690838,0.2,167,1630,54
596,487992,0.1,461,288,45
597,433969,1.9,12462,5775,50
606,569577,0.2,283,831,40
607,571380,0.1,0,647,45
611,214590,0.2,1315,1311,45
618,119090,0.0,17,389,59
630,245719,0.0,166,163,45
631,638987,0.1,810,1048,60
667,481283,0.1,6330,650,40
57,457569,3.0,5404,10563,45
58,40383,3.5,7444,6553,40
59,444172,0.1,0,503,40
60,463981,0.8,2805,2791,55
61,494521,3.0,4055,11078,54
62,242882,0.2,427,872,49
63,620487,0.0,21,38,49
64,54469,0.1,362,432,45
65,436893,0.0,31,42,44
66,575901,0.3,676,1026,40
67,499604,1.6,3517,9050,63
68,201658,6.7,74467,38923,61
69,503139,5.7,20934,35431,61
70,222683,0.9,2283,16326,60
71,155408,0.2,243,1065,50
72,496208,0.1,128,340,49
73,200785,0.3,981,1499,50
74,111317,0.1,160,303,50
75,158499,0.0,268,224,50
76,614574,0.0,25,53,49
77,489888,0.0,21,68,49
78,560262,0.2,160,744,74
79,444102,3.2,15157,19250,60
80,168636,0.0,0,48,55
81,561245,0.1,649,648,60
566,483067,0.4,4970,2796,50
573,494928,0.2,137,390,44
608,523700,0.1,795,812,50
615,230650,0.0,168,170,45
82,200720,6.1,18174,11968,50
83,507433,0.1,261,298,45
84,432830,1.0,107,8502,54
85,444765,0.1,31,293,49
86,249231,1.7,3409,11138,55
87,191866,3.9,10208,20621,45
88,607464,7.6,11847,19156,46
89,194010,0.2,146,534,44
90,472713,0.1,161,225,45
92,570241,0.0,56,83,44
93,513086,0.3,14068,1868,45
94,513418,11.2,360392,20622,62
95,533463,0.5,713,3338,63
96,440089,0.4,1374,1869,54
