season,gw,position,player,team,opponent,home,prediction
2025-26,4,MID,Granit Xhaka,Sunderland,,False,3.681933879852295
2025-26,4,MID,Daniel James,Leeds,,False,3.6773548126220703
2025-26,4,MID,FÃ¡bio Freitas Gouveia Carvalho,Brentford,,True,3.6720499992370605
2025-26,4,MID,Anthony Gordon,Newcastle,,True,3.627048969268799
2025-26,4,MID,Yehor Yarmoliuk,Brentford,,True,3.588705062866211
2025-26,4,MID,Martin Ã˜degaard,Arsenal,,True,3.555745840072632
2025-26,4,MID,Will Hughes,Crystal Palace,,True,3.522808313369751
2025-26,4,MID,Jean-Ricner Bellegarde,Wolves,,False,3.4872074127197266
2025-26,4,MID,James Ward-Prowse,West Ham,,True,3.4843308962712776
2025-26,4,MID,Jacob Bruun Larsen,Burnley,,True,3.4592108726501465
2025-26,4,MID,Joelinton CÃ¡ssio ApolinÃ¡rio de Lira,Newcastle,,True,3.4409751892089844
2025-26,4,MID,James Milner,Brighton,,False,3.4403152465820312
2025-26,4,MID,Tyrique George,Chelsea,,False,3.423144817352295
2025-26,4,MID,Noah Sadiki,Sunderland,,False,3.4218907356262207
2025-26,4,MID,Jordan Henderson,Brentford,,True,3.397862434387207
2025-26,4,MID,JoÃ£o Victor Gomes da Silva,Wolves,,False,3.346747398376465
2025-26,4,MID,Ethan Nwaneri,Arsenal,,True,3.3434605598449707
2025-26,4,MID,Harry Wilson,Fulham,,True,3.3334221839904785
2025-26,4,MID,Simon Adingra,Sunderland,,False,3.2672135829925537
2025-26,4,MID,Fer LÃ³pez GonzÃ¡lez,Wolves,,False,3.1293370723724365
2025-26,4,MID,Mateus GonÃ§alo Espanha Fernandes,West Ham,,True,3.1285600662231445
2025-26,4,MID,Alexis Mac Allister,Liverpool,,False,3.1087145805358887
2025-26,4,MID,Loum Tchaouna,Burnley,,True,3.0757267475128174
2025-26,4,MID,Sander Berge,Fulham,,True,3.055294990539551
2025-26,4,MID,Mathias Jensen,Brentford,,True,3.0497913360595703
2025-26,4,MID,Mikkel Damsgaard,Brentford,,True,3.0354464054107666
2025-26,4,MID,Jhon Arias,Wolves,,False,3.0255792140960693
2025-26,4,MID,Gabriel Martinelli Silva,Arsenal,,True,2.9504799842834473
2025-26,4,MID,Rayan Cherki,Man City,,True,2.9398584365844727
2025-26,4,MID,Josh Laurent,Burnley,,True,2.8994150161743164
2025-26,4,MID,Ryan Sessegnon,Fulham,,True,2.8595104217529297
2025-26,4,MID,SÃ¡vio Moreira de Oliveira,Man City,,True,2.8473458290100098
2025-26,4,MID,Wilson Odobert,Spurs,,False,2.776031017303467
2025-26,4,MID,Jefferson Lerma SolÃ­s,Crystal Palace,,True,2.7206602096557617
2025-26,4,MID,Sean Longstaff,Leeds,,False,2.6787002086639404
2025-26,4,MID,Ibrahim SangarÃ©,Nott'm Forest,,False,2.6704607009887695
2025-26,4,MID,Mats Wieffer,Brighton,,False,2.648864507675171
2025-26,4,MID,Justin Kluivert,Bournemouth,,True,2.6068778038024902
2025-26,4,MID,Crysencio Summerville,West Ham,,True,2.6064155101776123
2025-26,4,MID,Adam Wharton,Crystal Palace,,True,2.524637460708618
2025-26,4,MID,Xavi Simons,Spurs,,False,2.464150905609131
2025-26,4,MID,Leandro Trossard,Arsenal,,True,2.400963306427002
2025-26,4,MID,Hannibal Mejbri,Burnley,,True,2.3954885005950928
2025-26,4,MID,Evann Guessand,Aston Villa,,False,2.3415417671203613
2025-26,4,MID,YÃ©remy Pino Santos,Crystal Palace,,True,2.331669569015503
2025-26,4,MID,Manuel Ugarte Ribeiro,Man Utd,,False,2.2543752193450928
2025-26,4,MID,Donyell Malen,Aston Villa,,False,2.213118314743042
2025-26,4,MID,Carlos Henrique Casimiro,Man Utd,,False,2.1988894939422607
2025-26,4,MID,James McAtee,Nott'm Forest,,False,2.1543025970458984
2025-26,4,MID,Andrey Nascimento dos Santos,Chelsea,,False,2.1517229080200195
2025-26,4,MID,Max Dowman,Arsenal,,True,2.126477003097534
2025-26,4,MID,Amadou Onana,Aston Villa,,False,2.101001024246216
2025-26,4,MID,Amine Adli,Bournemouth,,True,2.092367172241211
2025-26,4,MID,Curtis Jones,Liverpool,,False,2.0801846981048584
2025-26,4,MID,Facundo Buonanotte,Chelsea,,False,2.058542490005493
2025-26,4,MID,Nico GonzÃ¡lez Iglesias,Man City,,True,1.9966719150543213
2025-26,4,MID,Carlos Baleba,Brighton,,False,1.9643391370773315
2025-26,4,MID,AndrÃ© Trindade da Costa Neto,Wolves,,False,1.964053988456726
2025-26,4,MID,Rodrigo Bentancur,Spurs,,False,1.9509559869766235
2025-26,4,MID,Ethan Ampadu,Leeds,,False,1.9470692873001099
2025-26,4,MID,Kobbie Mainoo,Man Utd,,False,1.9229604005813599
2025-26,4,MID,Kevin Santos Lopes de Macedo,Fulham,,True,1.9026260375976562
2025-26,4,MID,Noah Okafor,Leeds,,False,1.8968205451965332
2025-26,4,MID,Tim Iroegbunam,Everton,,True,1.8703138828277588
2025-26,4,MID,Lesley Ugochukwu,Burnley,,True,1.8545104265213013
2025-26,4,MID,Wilfried Gnonto,Leeds,,False,1.8367851972579956
2025-26,4,MID,Ilia Gruev,Leeds,,False,1.8191800117492676
2025-26,4,MID,Frank Onyeka,Brentford,,True,1.8010475635528564
2025-26,4,MID,Carlos Alcaraz DurÃ¡n,Everton,,True,1.786596417427063
2025-26,4,MID,Endo Wataru,Liverpool,,False,1.7642213106155396
2025-26,4,MID,Jacob Ramsey,Newcastle,,True,1.7536922693252563
2025-26,4,MID,Adama TraorÃ© Diarra,Fulham,,True,1.7022180557250977
2025-26,4,MID,Mathys Tel,Spurs,,False,1.6357290744781494
2025-26,4,MID,Boubacar Kamara,Aston Villa,,False,1.617884874343872
2025-26,4,MID,Alejandro Garnacho Ferreyra,Chelsea,,False,1.448752522468567
2025-26,4,MID,Tanaka Ao,Leeds,,False,1.4094960689544678
2025-26,4,MID,Ryan Yates,Nott'm Forest,,False,1.3736149072647095
2025-26,4,MID,Merlin RÃ¶hl,Everton,,True,1.3377524614334106
2025-26,4,MID,Andy Irving,West Ham,,True,1.296779751777649
2025-26,4,MID,Soungoutou Magassa,West Ham,,True,1.2908858060836792
2025-26,4,MID,Jack Harrison,Leeds,,False,1.2890516519546509
2025-26,4,MID,Harvey Elliott,Aston Villa,,False,1.280252456665039
2025-26,4,MID,Jack Hinshelwood,Brighton,,False,1.2677918672561646
2025-26,4,MID,Lewis Cook,Bournemouth,,True,1.2283568382263184
2025-26,4,MID,Lewis Miley,Newcastle,,True,1.2257132530212402
2025-26,4,MID,Diego GÃ³mez Amarilla,Brighton,,False,1.213582158088684
2025-26,4,MID,Dilane Bakwa,Nott'm Forest,,False,1.1831578016281128
2025-26,4,MID,Joe Willock,Newcastle,,True,1.1207256317138672
2025-26,4,MID,Patrick Roberts,Sunderland,,False,1.082161545753479
2025-26,4,MID,Dwight McNeil,Everton,,True,1.0748085975646973
2025-26,4,MID,Florentino Ibrain Morris LuÃ­s,Burnley,,True,1.0716389417648315
2025-26,4,MID,Luis Guilherme Lira dos Santos,West Ham,,True,1.068629503250122
2025-26,4,MID,Tom Cairney,Fulham,,True,1.0575731992721558
2025-26,4,MID,Omari Hutchinson,Nott'm Forest,,False,0.9925816655158997
2025-26,4,MID,Ryan Christie,Bournemouth,,True,0.9752154350280762
2025-26,4,MID,Chris Rigg,Sunderland,,False,0.9200679659843445
2025-26,4,MID,Freddie Potts,West Ham,,True,0.8986217379570007
2025-26,4,MID,Harrison Armstrong,Everton,,True,0.8663101196289062
2025-26,4,MID,Romain Esse,Crystal Palace,,True,0.8166760206222534
2025-26,4,MID,Hamed TraorÃ¨,Bournemouth,,True,0.7817448973655701
2025-26,4,MID,Bradley Burrowes,Aston Villa,,False,0.7432703375816345
2025-26,4,MID,Guido RodrÃ­guez,West Ham,,True,0.6651331186294556
2025-26,4,MID,Antoni Milambo,Brentford,,True,0.6633161306381226
2025-26,4,MID,JoÃ£o Pedro Ferreira da Silva,Nott'm Forest,,False,0.6625800132751465
2025-26,4,MID,Archie Gray,Spurs,,False,0.6473110318183899
2025-26,4,MID,Marcus Edwards,Burnley,,True,0.5833894610404968
2025-26,4,MID,Ben Winterburn,Bournemouth,,True,0.5780777335166931
2025-26,4,MID,Aaron Ramsey,Burnley,,True,0.2071644365787506
2025-26,4,MID,Abdallah Sima,Brighton,,False,0.2071644365787506
2025-26,4,MID,Abdoullah Ba,Sunderland,,False,0.2071644365787506
2025-26,4,MID,Adrian Mazilu,Brighton,,False,0.2071644365787506
2025-26,4,MID,Alan Browne,Sunderland,,False,0.2071644365787506
2025-26,4,MID,Albert Sambi Lokonga,Arsenal,,True,0.2071644365787506
2025-26,4,MID,Andre Harriman-Annous,Arsenal,,True,0.2071644365787506
2025-26,4,MID,Andreas Hoelgebaum Pereira,Fulham,,True,0.2071644365787506
2025-26,4,MID,Andrew Moran,Brighton,,False,0.2071644365787506
2025-26,4,MID,Antony dos Santos,Man Utd,,False,0.2071644365787506
2025-26,4,MID,AntoÃ±ito Cordero Campillo,Newcastle,,True,0.2071644365787506
2025-26,4,MID,Asher Agbinone,Crystal Palace,,True,0.2071644365787506
2025-26,4,MID,Ben Broggio,Aston Villa,,False,0.2071644365787506
2025-26,4,MID,Ben Gannon-Doak,Bournemouth,,True,0.2071644365787506
2025-26,4,MID,Bertrand TraorÃ©,Sunderland,,False,0.2071644365787506
2025-26,4,MID,Boubacar TraorÃ©,Wolves,,False,0.2071644365787506
2025-26,4,MID,Bryan Gil Salvatierra,Spurs,,False,0.2071644365787506
2025-26,4,MID,Callum Bates,Everton,,True,0.2071644365787506
2025-26,4,MID,Callum Olusesi,Spurs,,False,0.2071644365787506
2025-26,4,MID,Charlie Crew,Leeds,,False,0.2071644365787506
2025-26,4,MID,Cheick DoucourÃ©,Crystal Palace,,True,0.2071644365787506
2025-26,4,MID,Christian NÃ¸rgaard,Arsenal,,True,0.2071644365787506
2025-26,4,MID,Christopher Nkunku,Chelsea,,False,0.2071644365787506
2025-26,4,MID,Claudio Echeverri,Man City,,True,0.2071644365787506
2025-26,4,MID,Coby Ebere,Everton,,True,0.2071644365787506
2025-26,4,MID,Dan Neil,Sunderland,,False,0.2071644365787506
2025-26,4,MID,Darko Churlinov,Burnley,,True,0.2071644365787506
2025-26,4,MID,Darko Gyabi,Leeds,,False,0.2071644365787506
2025-26,4,MID,David Ozoh,Crystal Palace,,True,0.2071644365787506
2025-26,4,MID,Dejan Kulusevski,Spurs,,False,0.2071644365787506
2025-26,4,MID,Divine Mukasa,Man City,,True,0.2071644365787506
2025-26,4,MID,Dominic Sadi,Bournemouth,,True,0.2071644365787506
2025-26,4,MID,Douglas Luiz Soares de Paulo,Nott'm Forest,,False,0.2071644365787506
2025-26,4,MID,DÃ¡rio LuÃ­s Essugo,Chelsea,,False,0.2071644365787506
2025-26,4,MID,Edson Ãlvarez VelÃ¡zquez,West Ham,,True,0.2071644365787506
2025-26,4,MID,Enock Agyei,Burnley,,True,0.2071644365787506
2025-26,4,MID,Enso GonzÃ¡lez Medina,Wolves,,False,0.2071644365787506
2025-26,4,MID,Enzo Barrenechea,Aston Villa,,False,0.2071644365787506
2025-26,4,MID,Eric da Silva Moreira,Nott'm Forest,,False,0.2071644365787506
2025-26,4,MID,Franco Umeh-Chibueze,Crystal Palace,,True,0.2071644365787506
2025-26,4,MID,FÃ¡bio Ferreira Vieira,Arsenal,,True,0.2071644365787506
2025-26,4,MID,Garang Kuol,Newcastle,,True,0.2071644365787506
2025-26,4,MID,George Earthy,West Ham,,True,0.2071644365787506
2025-26,4,MID,GonÃ§alo Manuel Ganchinho Guedes,Wolves,,False,0.2071644365787506
2025-26,4,MID,Gustavo Nunes Fernandes Gomes,Brentford,,True,0.2071644365787506
2025-26,4,MID,Harrison Jones,Sunderland,,False,0.2071644365787506
2025-26,4,MID,Harrison Reed,Fulham,,True,0.2071644365787506
2025-26,4,MID,Ian Poveda-Ocampo,Sunderland,,False,0.2071644365787506
2025-26,4,MID,Isaac Hayden,Newcastle,,True,0.2071644365787506
2025-26,4,MID,Isaac Heath,Everton,,True,0.2071644365787506
2025-26,4,MID,Ismeal Kabia,Arsenal,,True,0.2071644365787506
2025-26,4,MID,Jack Fletcher,Man Utd,,False,0.2071644365787506
2025-26,4,MID,Jack Moorhouse,Man Utd,,False,0.2071644365787506
2025-26,4,MID,Jadon Sancho,Aston Villa,,False,0.2071644365787506
2025-26,4,MID,Jamaldeen Jimoh-Aloba,Aston Villa,,False,0.2071644365787506
2025-26,4,MID,James Maddison,Spurs,,False,0.2071644365787506
2025-26,4,MID,James McConnell,Liverpool,,False,0.2071644365787506
2025-26,4,MID,Jay Matete,Sunderland,,False,0.2071644365787506
2025-26,4,MID,Jayce Fitzgerald,Man Utd,,False,0.2071644365787506
2025-26,4,MID,Jaydon Banel,Burnley,,True,0.2071644365787506
2025-26,4,MID,Jenson Metcalfe,Everton,,True,0.2071644365787506
2025-26,4,MID,Jeremy Sarmiento Morante,Brighton,,False,0.2071644365787506
2025-26,4,MID,Jesurun Rak-Sakyi,Crystal Palace,,True,0.2071644365787506
2025-26,4,MID,Joe Gelhardt,Leeds,,False,0.2071644365787506
2025-26,4,MID,Joe Hodge,Wolves,,False,0.2071644365787506
2025-26,4,MID,Joe Knight,Brighton,,False,0.2071644365787506
2025-26,4,MID,Joe White,Newcastle,,True,0.2071644365787506
2025-26,4,MID,Julio Enciso EspÃ­nola,Brighton,,False,0.2071644365787506
2025-26,4,MID,Kadan Young,Aston Villa,,False,0.2071644365787506
2025-26,4,MID,Kaden Rodney,Crystal Palace,,True,0.2071644365787506
2025-26,4,MID,Kalvin Phillips,Man City,,True,0.2071644365787506
2025-26,4,MID,Kendry PÃ¡ez Andrade,Chelsea,,False,0.2071644365787506
2025-26,4,MID,Largie Ramazani,Leeds,,False,0.2071644365787506
2025-26,4,MID,Leander Dendoncker,Aston Villa,,False,0.2071644365787506
2025-26,4,MID,Leon Bailey,Aston Villa,,False,0.2071644365787506
2025-26,4,MID,Lewis Dobbin,Aston Villa,,False,0.2071644365787506
2025-26,4,MID,Lewis O'Brien,Nott'm Forest,,False,0.2071644365787506
2025-26,4,MID,Lewis Orford,West Ham,,True,0.2071644365787506
2025-26,4,MID,Luca Koleosho,Burnley,,True,0.2071644365787506
2025-26,4,MID,Luis DÃ­az Marulanda,Liverpool,,False,0.2071644365787506
2025-26,4,MID,Luis Sinisterra LucumÃ­,Bournemouth,,True,0.2071644365787506
2025-26,4,MID,Luke Harris,Fulham,,True,0.2071644365787506
2025-26,4,MID,Malcolm Ebiowei,Crystal Palace,,True,0.2071644365787506
2025-26,4,MID,Malick YalcouyÃ©,Brighton,,False,0.2071644365787506
2025-26,4,MID,Manor Solomon,Spurs,,False,0.2071644365787506
2025-26,4,MID,Manuel Benson Hedilazio,Burnley,,True,0.2071644365787506
2025-26,4,MID,Marcus Rashford,Man Utd,,False,0.2071644365787506
2025-26,4,MID,Marko StameniÄ‡,Nott'm Forest,,False,0.2071644365787506
2025-26,4,MID,Martial Godo,Fulham,,True,0.2071644365787506
2025-26,4,MID,Mateo KovaÄiÄ‡,Man City,,True,0.2071644365787506
2025-26,4,MID,Matheus FranÃ§a de Oliveira,Crystal Palace,,True,0.2071644365787506
2025-26,4,MID,Maxwel Cornet,West Ham,,True,0.2071644365787506
2025-26,4,MID,Mike TrÃ©sor Ndayishimiye,Burnley,,True,0.2071644365787506
2025-26,4,MID,Mikey Moore,Spurs,,False,0.2071644365787506
2025-26,4,MID,Milan AleksiÄ‡,Sunderland,,False,0.2071644365787506
2025-26,4,MID,Mykhailo Mudryk,Chelsea,,False,0.2071644365787506
2025-26,4,MID,Myles Peart-Harris,Brentford,,True,0.2071644365787506
2025-26,4,MID,Naouirou Ahamada,Crystal Palace,,True,0.2071644365787506
2025-26,4,MID,Nectarios Triantis,Sunderland,,False,0.2071644365787506
2025-26,4,MID,NicolÃ¡s DomÃ­nguez,Nott'm Forest,,False,0.2071644365787506
2025-26,4,MID,Oluwaseun Adewumi,Burnley,,True,0.2071644365787506
2025-26,4,MID,Paris Maghoma,Brentford,,True,0.2071644365787506
2025-26,4,MID,Philip Billing,Bournemouth,,True,0.2071644365787506
2025-26,4,MID,Pierre Ekwah Elimby,Sunderland,,False,0.2071644365787506
2025-26,4,MID,Reiss Nelson,Brentford,,True,0.2071644365787506
2025-26,4,MID,Remy Rees-Dottin,Bournemouth,,True,0.2071644365787506
2025-26,4,MID,Rio Cardines,Crystal Palace,,True,0.2071644365787506
2025-26,4,MID,Romain Faivre,Bournemouth,,True,0.2071644365787506
2025-26,4,MID,Romaine Mundle,Sunderland,,False,0.2071644365787506
2025-26,4,MID,Romelle Donovan,Brentford,,True,0.2071644365787506
2025-26,4,MID,RomÃ©o Lavia,Chelsea,,False,0.2071644365787506
2025-26,4,MID,Ross Barkley,Aston Villa,,False,0.2071644365787506
2025-26,4,MID,Ryan Trevitt,Brentford,,True,0.2071644365787506
2025-26,4,MID,Sam Greenwood,Leeds,,False,0.2071644365787506
2025-26,4,MID,Samuel Chukwueze,Fulham,,True,0.2071644365787506
2025-26,4,MID,Samuel Iling-Junior,Aston Villa,,False,0.2071644365787506
2025-26,4,MID,Seung-Soo Park,Newcastle,,True,0.2071644365787506
2025-26,4,MID,Solly March,Brighton,,False,0.2071644365787506
2025-26,4,MID,Son Heung-min,Spurs,,False,0.2071644365787506
2025-26,4,MID,Stefan BajÄetiÄ‡ Maquieira,Liverpool,,False,0.2071644365787506
2025-26,4,MID,Sverre Nypan,Man City,,True,0.2071644365787506
2025-26,4,MID,SÃ©kou KonÃ©,Man Utd,,False,0.2071644365787506
2025-26,4,MID,Tawanda Chirewa,Wolves,,False,0.2071644365787506
2025-26,4,MID,Toby Collyer,Man Utd,,False,0.2071644365787506
2025-26,4,MID,Tom Edozie,Wolves,,False,0.2071644365787506
2025-26,4,MID,Tom Watson,Brighton,,False,0.2071644365787506
2025-26,4,MID,Trey Nyoni,Liverpool,,False,0.2071644365787506
2025-26,4,MID,Tyler Dibling,Everton,,True,0.2071644365787506
2025-26,4,MID,Tyler Morton,Liverpool,,False,0.2071644365787506
2025-26,4,MID,Tyler Onyango,Everton,,True,0.2071644365787506
2025-26,4,MID,Vitaly Janelt,Brentford,,True,0.2071644365787506
2025-26,4,MID,Yang Min-hyeok,Spurs,,False,0.2071644365787506
2025-26,4,MID,Yunus Emre Konak,Brentford,,True,0.2071644365787506
2025-26,4,MID,Yves Bissouma,Spurs,,False,0.2071644365787506
2025-26,4,MID,Zain Silcott-Duberry,Bournemouth,,True,0.2071644365787506
2025-26,4,MID,Ä°lkay GÃ¼ndoÄŸan,Man City,,True,0.2071644365787506
